,Store,WeeksWithMarkdown,TotalWeeks,PctWeeksMarkdown,Size,Type
0,1,3657,10244,35.698945724326435,151315,A
1,2,3663,10238,35.7784723578824,202307,A
2,3,3245,9036,35.91190792386011,37392,B
3,4,3676,10272,35.78660436137071,205863,A
4,5,3223,8999,35.815090565618405,34875,B
5,6,3652,10211,35.76535109195965,202505,A
6,7,3506,9762,35.91477156320426,70713,B
7,8,3535,9895,35.72511369378474,155078,A
8,9,3210,8867,36.2016465546408,125833,B
9,10,3646,10315,35.34658264663112,126512,B
10,11,3624,10062,36.01669648181276,207499,A
11,12,3494,9705,36.00206079340546,112238,B
12,13,3729,10474,35.60244414741264,219622,A
13,14,3589,10040,35.74701195219124,200898,A
14,15,3542,9901,35.774164225835776,123737,B
15,16,3482,9443,36.87387482791486,57197,B
16,17,3560,9864,36.09083536090835,93188,B
17,18,3564,9859,36.14971092402881,120653,B
18,19,3622,10148,35.69176192353173,203819,A
19,20,3653,10214,35.76463677305659,203742,A
20,21,3449,9582,35.99457315800459,140167,B
21,22,3476,9688,35.87943848059455,119557,B
22,23,3586,10050,35.681592039801,114533,B
23,24,3658,10228,35.76456785295268,203819,A
24,25,3508,9804,35.78131374949,128107,B
25,26,3544,9854,35.96509031865232,152513,A
26,27,3656,10225,35.75550122249389,204184,A
27,28,3619,10113,35.7856224661327,206302,A
28,29,3367,9455,35.61078794288736,93638,B
29,30,2565,7156,35.844046953605364,42988,C
30,31,3614,10142,35.63399723920331,203750,A
31,32,3629,10202,35.57145657714174,203007,A
32,33,2388,6487,36.8120857098813,39690,A
33,34,3608,10224,35.28951486697966,158114,A
34,35,3416,9528,35.852225020990765,103681,B
35,36,2254,6222,36.22629379620701,39910,A
36,37,2664,7206,36.969192339716905,39910,C
37,38,2704,7362,36.72914968758489,39690,C
38,39,3522,9878,35.6549908888439,184109,A
39,40,3599,10017,35.92892083458121,155083,A
40,41,3649,10088,36.17168913560666,196321,A
41,42,2601,6953,37.40831295843521,39690,C
42,43,2410,6751,35.69841504962228,41062,C
43,44,2621,7169,36.560189705677224,39910,C
44,45,3453,9637,35.8306526927467,118221,B
